combo_id,geometry,motion,max_tension_N,angle_at_max_tension_deg,max_compression_N,angle_at_max_compression_deg
G1__M1,G1,M1,25.6,0.0,6.400011855375255,59.969984992496244
G1__M2,G1,M2,38.4,0.0,33.600000329316046,323.98199099549777
G1__M3,G1,M3,73.6,0.0,54.400011855375254,90.04502251125562
G1__M4,G1,M4,105.4,0.0,94.600000266746,337.4887443721861
G1__M5,G1,M5,159.0,0.0,129.0000082329004,98.14907453726863
G2__M1,G2,M1,35.519999999999996,0.0,4.800018968600407,59.969984992496244
G2__M2,G2,M2,49.2,0.0,41.52000052690566,323.98199099549777
G2__M3,G2,M3,96.0,0.0,65.28001896860042,90.04502251125562
G2__M4,G2,M4,134.64,0.0,117.3600004267936,337.4887443721861
G2__M5,G2,M5,205.44,0.0,157.44001317264068,98.14907453726863
G3__M1,G3,M1,38.400000000000006,0.0,-9.599970361561862,59.969984992496244
G3__M2,G3,M2,38.4,0.0,26.400000823290107,323.98199099549777
G3__M3,G3,M3,81.6,0.0,33.60002963843815,90.04502251125562
G3__M4,G3,M4,103.5,0.0,76.50000066686499,337.4887443721861
G3__M5,G3,M5,167.1,0.0,92.10002058225106,98.14907453726863
G4__M1,G4,M1,41.2,0.0,18.80001383127113,59.969984992496244
G4__M2,G4,M2,70.3,0.0,64.70000038420204,323.98199099549777
G4__M3,G4,M3,131.2,0.0,108.80001383127113,90.04502251125562
G4__M4,G4,M4,193.8,0.0,181.20000031120367,337.4887443721861
G4__M5,G4,M5,287.5,0.0,252.50000960505048,98.14907453726863
G5__M1,G5,M1,59.400000000000006,0.0,-10.999956530290735,59.969984992496244
G5__M2,G5,M2,63.25,0.0,45.65000120749215,323.98199099549777
G5__M3,G5,M3,132.0,0.0,61.600043469709284,90.04502251125562
G5__M4,G5,M4,171.05,0.0,131.4500009780687,337.4887443721861
G5__M5,G5,M5,272.8,0.0,162.80003018730156,98.14907453726863
