combo_id,geometry,motion,gravity_status,gravity_m_s2,max_tension_N,angle_at_max_tension_deg,max_compression_N,angle_at_max_compression_deg
G1__M1,G1,M1,OFF,0.0,25.6,0.0,6.4,180.0
G1__M2,G1,M2,OFF,0.0,38.4,0.0,33.6,108.0
G1__M3,G1,M3,OFF,0.0,73.6,0.0,54.4,90.0
G1__M4,G1,M4,OFF,0.0,105.4,0.0,94.60000000000001,112.5
G1__M5,G1,M5,OFF,0.0,159.0,0.0,129.0000158654878,294.5
G2__M1,G2,M1,OFF,0.0,35.52,239.99999999999997,4.799999999999999,180.0
G2__M2,G2,M2,OFF,0.0,49.2,0.0,41.52,324.0
G2__M3,G2,M3,OFF,0.0,96.0,0.0,65.27999999999999,90.0
G2__M4,G2,M4,OFF,0.0,134.64,0.0,117.36,337.5
G2__M5,G2,M5,OFF,0.0,205.44,0.0,157.4400253847805,294.5
G3__M1,G3,M1,OFF,0.0,38.400000000000006,0.0,-9.600000000000001,59.99999999999999
G3__M2,G3,M2,OFF,0.0,38.4,0.0,26.400000000000006,108.0
G3__M3,G3,M3,OFF,0.0,81.6,0.0,33.6,90.0
G3__M4,G3,M4,OFF,0.0,103.5,0.0,76.5,337.5
G3__M5,G3,M5,OFF,0.0,167.1,0.0,92.10003966371954,294.5
G4__M1,G4,M1,OFF,0.0,41.20000000000001,239.99999999999997,18.8,180.0
G4__M2,G4,M2,OFF,0.0,70.3,0.0,64.70000000000002,108.0
G4__M3,G4,M3,OFF,0.0,131.2,0.0,108.8,90.0
G4__M4,G4,M4,OFF,0.0,193.8,0.0,181.2,112.5
G4__M5,G4,M5,OFF,0.0,287.5,0.0,252.50001850973578,294.5
G5__M1,G5,M1,OFF,0.0,59.400000000000006,0.0,-11.0,180.0
G5__M2,G5,M2,OFF,0.0,63.25,0.0,45.650000000000006,108.0
G5__M3,G5,M3,OFF,0.0,132.0,0.0,61.60000000000001,90.0
G5__M4,G5,M4,OFF,0.0,171.05000000000004,225.0,131.45,337.5
G5__M5,G5,M5,OFF,0.0,272.8,0.0,162.8000581734554,294.5
